MountId,ItemId,Name
246,33676,Al-iklil
247,33677,Cruise Chaser
248,33145,Construct VI-S
249,33685,Diamond Gwiber
250,33686,Polar Bear
252,33687,Gilded Mikoshi
253,33688,Resplendent Vessel of Ronka
254,33689,Magicked Card
255,33678,Island Mandragora
256,33679,Island Onion Prince
257,33680,Island Eggplant Knight
258,33681,Island Garlic Jester
259,33682,Island Tomato King
260,33683,Island Mandragora Queen
261,36000,Lynx of Eternal Darkness
262,36001,Lynx of Divine Light
263,36002,Argos
264,36006,Dreadnaught
265,36008,Demi-Phoinix
266,36003,Calydontis
267,36004,Victor
268,36007,Level Checker
269,36009,Papa Paissa
273,36005,Wivre
274,36010,Porxie King
277,38455,Garlond GL-II
279,36632,Mechanical Lotus
280,36905,Fylgja
281,36906,Alkonost
282,40382,Island Buffalo
283,45071,Brachiosaur
284,36910,Pod 602
285,39485,Moon-hopper
286,39495,Island Alligator
287,36907,Hippo Cart
288,36904,Troll
290,36908,UFO
291,36909,Vinegaroon
292,36911,Orthos Craklaw
293,36912,Bluefeather Lynx
294,36913,Megashiba
297,40383,Traveling Supporter
298,38456,Miw Miisv
299,38457,Wondrous Lanner
300,38458,Magicked Umbrella
301,38459,Magicked Parasol
302,38460,Starlight Steed
303,38461,Sil'dihn Throne
304,38462,Silkie
305,38463,Sunforged
306,38464,Lynx of Imperious Wind
308,39486,Aeturna
310,39487,Set of Ceruleum Balloons
311,39488,Anden III
312,39489,Blackjack
313,39490,Phaethon
314,39491,Pinky
315,39492,Lynx of Righteous Fire
316,39493,Magitek Avenger G1
317,39494,Chrysomallos
318,40384,Garlond GL-IS
319,40385,Megaloambystoma
320,40386,Rising Phoenix
321,40387,Burabura Chochin
322,40388,Shishioji
323,40389,Shadow Wolf
324,40390,Magicked Children's Bed
325,40391,Lynx of Fallen Shadow
326,41487,Torgal
327,41488,Ark
328,41489,Apocryphal Bahamut
329,41490,Crescent Moon
330,41491,Rhiyes
331,41492,Oppressor
332,41493,Lynx of Abyssal Grief
333,41494,Sabotender de la Luna
334,41495,Spectral Statice
335,41496,Garlond GL-IIT
336,41497,Peatie
337,41498,Alsvid
338,41499,Quaqua
339,41649,Island Peerifool
340,41650,Island Adenium
342,43590,Ty'aitya
343,43591,Air-wheeler A9
344,43592,Alpaca
345,43593,Wings of Ruin
346,43594,Wings of Resolve
347,43595,Outrunner
348,43596,Mehwapyarra
349,43597,Monowheel S1
350,43598,Rroneek
351,43599,Ullr
352,43600,Qeziigural
353,44245,Automatoise
354,41802,Mountain Zu
356,44502,Barreltender
357,44503,Eggeater
358,44497,Punutiy
359,44504,Alexandrian Axe Beak
360,44501,Shroud of Darkness
361,44500,Dais of Darkness
362,44498,Hovering Hot Pot
363,44499,Wings of Eternity
364,44505,Vacuum Suit
365,44958,Venturous Kamuy
371,50435,Cosmic Countenance
372,47978,Demon Haul
373,47979,Petalodus
374,45577,Snowstreamer
379,47334,Pilgrim's Protector
381,47977,Branchbearer
382,47974,Air-wheeler C9
383,47975,Ancient Airship
385,48232,High Mobility Vacuum Suit
386,47973,Warp Loader
388,47980,His Royal Headness on Parade
389,47976,Wings of the Knighthood
390,48231,Magitek Slasher
393,46830,Vurgar the Loyal
394,50436,Wanyudo
395,46831,Forgiven Mimicry
396,46827,Ambulario
397,46828,Shagcoat Cat
398,46833,Seikret
399,46834,Felyne Support Team Cart
400,46829,Yan
401,46825,Interstellar Dhalmel
402,47336,Cosmoboard
403,46832,Chandelier of First Light
407,46826,Wings of Death
408,47335,Ornamental Shrublet
409,52257,Interstellar Leafkin
411,50437,Dynamite
412,50438,Genie of the Lamp
413,50439,Lowrider T1RANT
414,50440,Uolon
415,50441,Volatile Gravity Vacuum Suit
416,50442,Cosmic Armored Weapon
417,52258,Inflatable Mograft
419,52640,Starlight Sleigh
420,52259,Wings of Legacy
421,50443,Hardy-Daytona
422,50444,Wings of Mist
425,50445,Rapid-fab Vacuum Suit
426,50446,Alert Red Warp Loader
427,50447,Royal Magicked Carpet
428,50448,Turali Snowman
429,52260,Night Stallion
430,52261,Magitek Scorpion
432,52262,Rocket Punch
435,52264,Colibri Callado
437,52266,Duck-billed Porter
438,52267,Cosmic Armored Weapon Beta
440,52268,Cosmic Predator
444,52270,Wings of Nihility
445,52271,Excavating Vacuum Suit
446,52272,Carbide Grey Warp Loader
