ItemId,Kind,SourceType,SourceText
47964,Minion,Treasure Hunt,Vault Oneiron
46777,Minion,Wondrous Tails,400 Faux Leaves
47972,Minion,Occult Crescent,600 Enlightenment Silver Pieces
47970,Minion,Occult Crescent,South Horn - Pot/Bunny Coffer
47969,Minion,Occult Crescent,6 Chunks of Sanguinite
47968,Minion,Occult Crescent,6 Chunks of Sanguinite
47967,Minion,Occult Crescent,6 Chunks of Sanguinite
47962,Minion,Tribal,Veerul Ja - Gok Golma (Yak T'el) - 8 Mamool Ja Nanook (Rank 6)
47966,Minion,Cosmic Exploration,Cosmic Fortune - Sinus Ardonum
44491,Minion,Quest,When Death Comes to Dinner
47961,Minion,PvP,PvP Series 8 - Level 15
47971,Minion,Dungeon,The Underkeep
41472,Minion,Event,Heavensturn (2025)
41472,Minion,Premium,Online Store
44492,Minion,Chaotic Raid,The Cloud of Darkness (Chaotic)
44494,Minion,Treasure Hunt,Cenote Ja Ja Gural
44494,Minion,Treasure Hunt,Vault Oneiron
44490,Minion,Wondrous Tails,400 Faux Leaves
44489,Minion,Tribal,Pavli - Dock Poga (Kozama'uka) - 8 Pelu Pelplumes (Rank 4)
43589,Minion,Premium,Item code included with The Art of Succession -Relics of Heritage- Artbook
44493,Minion,Quest,A Present from the Present
44485,Minion,PvP,PvP Series 7 - Level 15
44486,Minion,Voyages,Subaquatic Voyages - South Indigo Deep (C/K)
44486,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
44488,Minion,Voyages,Subaquatic Voyages - South Indigo Deep (F/I/Q)
44488,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
44487,Minion,Dungeon,Yuweyawata Field Station
44483,Minion,Raid,Jeuno: The First Walk
43587,Minion,Event,The Rising (2024)
43587,Minion,Premium,Online Store
43572,Minion,Treasure Hunt,Cenote Ja Ja Gural
43572,Minion,Treasure Hunt,Vault Oneiron
43586,Minion,Raid,AAC Light-heavyweight M4
43586,Minion,Raid,AAC Light-heavyweight M4 (Savage)
41485,Minion,Premium,Dawntrail Collector's Edition
43578,Minion,Quest,Tasteful Memories
43584,Minion,Dungeon,Alexandria
43570,Minion,Dungeon,Vanguard
43588,Minion,Premium,Item code included with Dawntrail Original Soundtrack
43582,Minion,Venture,Highland Exploration XXXI
43575,Minion,Venture,Waterside Exploration XXXI
43569,Minion,Dungeon,Ihuykatumu
43580,Minion,Hunts,Ryubool Ja - Tuliyollal - 800 Sacks of Nuts
43576,Minion,PvP,PvP Series 6 - Level 15
43574,Minion,FATE,Rral Wuruq - Yak T'el - 700 Bicolor Gemstones (Rank 4)
43573,Minion,Venture,Woodland Exploration XXXI
43571,Minion,FATE,Tepli - Urqopacha - 700 Bicolor Gemstones (Rank 4)
43585,Minion,Dungeon,Origenics
43583,Minion,Dungeon,The Strayborough Deadwalk
43581,Minion,Dungeon,The Skydeep Cenote
43579,Minion,Dungeon,Tender Valley
43577,Minion,Dungeon,Worqor Zormor
41478,Minion,Event,Final Fantasy XVI Collaboration
41484,Minion,Premium,Dawntrail Pre-order
41480,Minion,Event,350 MGF (Fall Guys Collaboration)
41479,Minion,Event,350 MGF (Fall Guys Collaboration)
41471,Minion,V&C Dungeon,Aloalo Island
41486,Minion,V&C Dungeon,Aloalo Island
41475,Minion,Wondrous Tails,400 Faux Leaves
41476,Minion,Island Sanctuary,"4,000 Seafarer's Cowries"
41482,Minion,Premium,Item code included with The Art of Resurrection -Beyond the Veil- Artbook
41481,Minion,Premium,Item code included with Growing Light Original Soundtrack
41483,Minion,Premium,Item code included with Encyclopaedia Eorzea III
41477,Minion,Dungeon,The Lunar Subterrane
41473,Minion,PvP,PvP Series 5 - Level 15
41473,Minion,PvP,"1,000 Trophy Crystals"
41474,Minion,Raid,Thaleia
38449,Minion,Event,Heavensturn (2024)
38449,Minion,Premium,Online Store
36861,Minion,Quest,Not from Around Here
40378,Minion,V&C Dungeon,Mount Rokkon
40377,Minion,V&C Dungeon,Mount Rokkon
40371,Minion,V&C Dungeon,Mount Rokkon
40381,Minion,Voyages,Subaquatic Voyages - The Lilac Sea (G/M)
40381,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
40379,Minion,Raid,Anabaseios: The Twelfth Circle
40379,Minion,Raid,Anabaseios: The Twelfth Circle (Savage)
40380,Minion,Crafting,Crafted by Weaver - Storm's Crown (Extreme)
40380,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Auxesia
40373,Minion,PvP,PvP Series 4 - Level 15
40373,Minion,PvP,"1,000 Trophy Crystals"
40369,Minion,Dungeon,The Aetherfont
40370,Minion,Achievement,"Near, Far, Wherever Fish Are II"
40372,Minion,Island Sanctuary,"4,000 Seafarer's Cowries"
40374,Minion,Wondrous Tails,400 Faux Leaves
40374,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
40376,Minion,Treasure Hunt,The Shifting Gymnasion Agonon
40375,Minion,Treasure Hunt,The Excitatron 6000
40375,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
39479,Minion,Tribal,Coiningway - Hoper's Hold (Mare Lamentorum) - 8 Loporrit Carats (Rank 5)
39480,Minion,Deep Dungeon,Eureka Orthos - Silver/Gold Sack
39477,Minion,Gold Saucer,"30,000 MGP"
39482,Minion,Crafting,"Crafted by Armorer - Subaquatic Voyages: Sirensong Sea (Q), Lilac Sea (F)"
39482,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
39482,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Auxesia
38453,Minion,Treasure Hunt,The Shifting Gymnasion Agonon
39484,Minion,Treasure Hunt,The Shifting Gymnasion Agonon
39483,Minion,Event,The Make It Rain Campaign (2023)
39483,Minion,Premium,Online Store
39478,Minion,Dungeon,Lapis Manalis
39476,Minion,Voyages,"Subaquatic Voyages - Sirensong Sea (S), The Lilac Sea (G/O)"
39476,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
39474,Minion,Wondrous Tails,400 Faux Leaves
39474,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
39481,Minion,Raid,Euphrosyne
39475,Minion,Island Sanctuary,"4,000 Seafarer's Cowries"
38452,Minion,V&C Dungeon,The Sil'dihn Subterrane
38451,Minion,V&C Dungeon,The Sil'dihn Subterrane
38445,Minion,Tribal,N-0598 - A-4 Research (Ultima Thule) - 8 Omicron Omnitokens (Rank 5)
38447,Minion,PvP,PvP Series 2 - Level 15
38447,Minion,PvP,"1,000 Trophy Crystals"
38446,Minion,PvP,PvP Series 2 - Level 16
38446,Minion,PvP,"1,000 Trophy Crystals"
38444,Minion,Island Sanctuary,"4,000 Seafarer's Cowries"
38454,Minion,Raid,Abyssos: The Eighth Circle
38454,Minion,Raid,Abyssos: The Eighth Circle (Savage)
36862,Minion,Event,The Rising (2022)
36862,Minion,Premium,Online Store
38448,Minion,Dungeon,The Fell Court of Troia
38450,Minion,Wondrous Tails,400 Faux Leaves
38450,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
36851,Minion,Tribal,Ghanta - Svarna (Thavnair) - 8 Arkasodara Pana (Rank 4)
36859,Minion,Premium,Item code included with The Art of Resurrection -Among The Stars- Artbook
36856,Minion,Venture,Field Exploration XXVIII
36854,Minion,Dungeon,Alzadaal's Legacy
36853,Minion,PvP,"1,000 Trophy Crystals"
36860,Minion,Venture,Waterside Exploration XXVIII
36855,Minion,Venture,Woodland Exploration XXVIII
36855,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
36852,Minion,Venture,Highland Exploration XXVIII
36858,Minion,Raid,Aglaia
36857,Minion,Event,Hatching-tide (2022)
36857,Minion,Premium,Online Store
36637,Minion,Treasure Hunt,The Excitatron 6000
36637,Minion,Treasure Hunt,The Shifting Gymnasion Agonon
36637,Minion,Treasure Hunt,Timeworn Kumbhiraskin/Ophiotauroskin Map
35988,Minion,Raid,Asphodelos: The Fourth Circle
35988,Minion,Raid,Asphodelos: The Fourth Circle (Savage)
32851,Minion,Premium,Endwalker Collector's Edition
35984,Minion,Crafting,Crafted by Weaver
35984,Minion,Cosmic Exploration,Bronze Ancient Record - Oizys or Auxesia
35985,Minion,Quest,The Meeting of Minds
35973,Minion,Dungeon,The Stigma Dreamscape
35973,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
35973,Minion,Occult Crescent,South Horn - Silver Coffer
35975,Minion,Dungeon,The Dead Ends
35978,Minion,Premium,Item code included with Endwalker Original Soundtrack
35989,Minion,Quest,Endwalker
35977,Minion,Wondrous Tails,1 Khloe's Silver Certificate of Commendation
35987,Minion,Venture,Highland Exploration XXVI - XXVIII
35983,Minion,Dungeon,Ktisis Hyperboreia
35980,Minion,Venture,Waterside Exploration XXVI - XXVIII
35979,Minion,Dungeon,Vanaspati
35979,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
35979,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
35976,Minion,Hunts,J'lakshai (Old Sharlayan) / Wilmetta (Radz-at-Han) - 800 Sacks of Nuts
35970,Minion,Venture,Field Exploration XXVI - XXVIII
35969,Minion,Event,The Starlight Celebration (2021)
35969,Minion,Premium,Online Store
35974,Minion,Dungeon,The Tower of Babil
35972,Minion,Dungeon,The Tower of Zot
35990,Minion,FATE,"Nesvaaz - Radz-at-Han - 5 Daivadipa's Beads (FATE ""Devout Pilgrims vs. Daivadipa"" - Thavnair)"
35986,Minion,Venture,Woodland Exploration XXVI - XXVIII
35986,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
35982,Minion,Dungeon,The Aitiascope
35981,Minion,Dungeon,Smileton
35981,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
35981,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
35971,Minion,FATE,N-1499 - Base Omicron (Ultima Thule) - 500 Bicolor Gemstones (Rank 3)
35968,Minion,Event,The Starlight Celebration (2021)
35968,Minion,Premium,Online Store
33700,Minion,Bozja,100 Bozjan Clusters
33701,Minion,Raid,The Tower at Paradigm's Breach
33697,Minion,Raid,The Tower at Paradigm's Breach
32854,Minion,Premium,Digital Fan Festival (2021)
32854,Minion,Premium,Online Store
32853,Minion,Premium,Digital Fan Festival (2021)
32853,Minion,Premium,Online Store
32852,Minion,Premium,Digital Fan Festival (2021)
32852,Minion,Premium,Online Store
32850,Minion,Premium,Endwalker Pre-order
33696,Minion,Crafting,Crafted by Alchemist
33696,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
33696,Minion,Cosmic Exploration,Bronze Ancient Record - Oizys or Auxesia
33695,Minion,Voyages,"Subaquatic Voyages - Sea of Jade (T), Sirensong Sea (E), South Indigo Deep (Q)"
33693,Minion,Dungeon,Paglth'an
33693,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
33693,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
33699,Minion,Premium,Item code included with The Art of Reflection -Histories Unwritten- Artbook
33698,Minion,Premium,Item code included with Death Unto Dawn Original Soundtrack
33694,Minion,Gold Saucer,"21,000 MGP (only available during the ""The Make It Rain Campaign"" event)"
33690,Minion,Achievement,"Mine, Mine, Mine"
33692,Minion,Achievement,Double-backwards Somersault
33691,Minion,Wondrous Tails,150 Faux Leaves
33691,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
33691,Minion,Wondrous Tails,1 Khloe's Silver Certificate of Commendation
32855,Minion,Bozja,Delubrum Reginae (Savage)
32857,Minion,Skybuilders,Kupo of Fortune
32848,Minion,Voyages,"Subaquatic Voyages - Sea of Jade (M/R), Sirensong Sea (K)"
32849,Minion,Raid,Eden's Promise: Eternity
32849,Minion,Raid,Eden's Promise: Eternity (Savage)
32858,Minion,Treasure Hunt,The Shifting Oubliettes of Lyhe Ghiah
32847,Minion,Achievement,On a Boat IV
30099,Minion,FATE,Gramsol - The Crystarium - 400 Bicolor Gemstones
32856,Minion,Dungeon,Matoya's Relict
32856,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
30876,Minion,Bozja,Southern Front Lockbox
30876,Minion,Occult Crescent,South Horn - Silver Coffer
30870,Minion,Bozja,Castrum Lacus Litore
30870,Minion,Occult Crescent,South Horn - Silver Coffer
30875,Minion,Skybuilders,Kupo of Fortune
30871,Minion,Skybuilders,Kupo of Fortune
30882,Minion,Raid,The Puppets' Bunker
30881,Minion,Raid,The Puppets' Bunker
30880,Minion,Event,Yo-kai Watch Collaboration
30879,Minion,Event,Yo-kai Watch Collaboration
30878,Minion,Event,Yo-kai Watch Collaboration
30877,Minion,Event,Yo-kai Watch Collaboration
30867,Minion,Tribal,Mizutt - Watts's Anvil (Lakeland) - 8 Hammered Frogments (Rank 4)
30873,Minion,Other,Gardening
30873,Minion,Venture,Quick Exploration
30869,Minion,Event,The Rising (2020)
30869,Minion,Premium,Online Store
30868,Minion,Quest,Unto the Morrow
30874,Minion,Wondrous Tails,150 Faux Leaves
30872,Minion,Dungeon,The Heroes' Gauntlet
30100,Minion,Achievement,Crafting in the Air
28628,Minion,Skybuilders,"Enie - The Firmament - 1,200 Skybuilders' Scrips"
28628,Minion,Skybuilders,Fête Present
28628,Minion,Cosmic Exploration,Bronze Ancient Record - Oizys
30089,Minion,Achievement,Gathering in the Air
30095,Minion,Skybuilders,Kupo of Fortune
30094,Minion,Skybuilders,Kupo of Fortune
30101,Minion,Gold Saucer,"30,000 MGP"
30096,Minion,Dungeon,Anamnesis Anyder
30090,Minion,FATE,Sul Lad - Lydha Lran (Il Mheg) - 400 Bicolor Gemstones (Rank 3)
30098,Minion,Premium,Item code included with The Art of Reflection -Histories Forsaken- Artbook
26786,Minion,Raid,Eden's Verse: Refulgence
26786,Minion,Raid,Eden's Verse: Refulgence (Savage)
30093,Minion,Voyages,"Subaquatic Voyages - Sea of Ash (P), Sea of Jade (D/T), Sirensong Sea (C), South Indigo Deep (J)"
30097,Minion,Achievement,No More Fish in the Sea I
30092,Minion,Tribal,Yuqurl Manl - Hopl's Stopple (The Rak'tika Greatwood) - 8 Qitari Compliments (Rank 8)
30091,Minion,Tribal,Yuqurl Manl - Hopl's Stopple (The Rak'tika Greatwood) - 8 Qitari Compliments (Rank 4)
30088,Minion,Treasure Hunt,The Dungeons of Lyhe Ghiah
30088,Minion,Treasure Hunt,The Shifting Oubliettes of Lyhe Ghiah
30088,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
28623,Minion,Quest,Blue Scream of Death
28623,Minion,Hunts,Maudlin Latool Ja - Ul'dah - 400 Allied Seals
28625,Minion,Skybuilders,"Enie - The Firmament - 1,200 Skybuilders' Scrips"
28622,Minion,Skybuilders,"Enie - The Firmament - 1,200 Skybuilders' Scrips"
28622,Minion,Skybuilders,Fête Present
28622,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Oizys
28630,Minion,Raid,The Copied Factory
28629,Minion,Raid,The Copied Factory
28619,Minion,Tribal,Jul Oul - Lydha Lran (Il Mheg) - 8 Fae Fancies (Rank 6)
28627,Minion,Venture,Highland Exploration XXV
28624,Minion,Venture,Waterside Exploration XXV
28621,Minion,Voyages,"Subaquatic Voyages - Sea of Ash (M/N/P), Sea of Jade (E/P), Sirensong Sea (B)"
28621,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
28621,Minion,Occult Crescent,South Horn - Silver Coffer
28626,Minion,Dungeon,The Grand Cosmos
28626,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
28626,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
28620,Minion,Venture,Field Exploration XXV
28620,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
28620,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
28620,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
28618,Minion,Venture,Woodland Exploration XXV
28618,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
28618,Minion,Occult Crescent,South Horn - Silver Coffer
26802,Minion,Voyages,"Subaquatic Voyages - Sea of Ash (E/I/K/R), Sirensong Sea (H)"
26802,Minion,Bozja,Zadnor Lockbox
26802,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
26785,Minion,Event,The Rising (2019)
26785,Minion,Premium,Online Store
26789,Minion,Treasure Hunt,The Dungeons of Lyhe Ghiah
26795,Minion,Raid,Eden's Gate: Sepulture
26795,Minion,Raid,Eden's Gate: Sepulture (Savage)
26800,Minion,FATE,"Fathard - Eulmore - 6 Archaeotania's Horn (FATE ""The Head, The Tail, the Whole Damned Thing"" - The Tempest)"
26805,Minion,FATE,"Fathard - Eulmore - 6 Formidable Cog (FATE ""A Finale Most Formidable"" - Kholusia)"
23992,Minion,Quest,Shadowbringers
24632,Minion,Premium,Shadowbringers Collector's Edition
26797,Minion,Premium,Item code included with Shadowbringers Original Soundtrack
24633,Minion,Hunts,Xylle (The Crystarium) / Ilfroy (Eulmore) - 800 Sacks of Nuts
26796,Minion,Trial,"Giant Beaver - Il Mheg - 1 Dancing Wing (Requires Quest ""And Then There Were None"")"
26803,Minion,Dungeon,Amaurot
26803,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
26803,Minion,Occult Crescent,South Horn - Bronze Coffer
26803,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
26794,Minion,Hunts,Xylle (The Crystarium) / Ilfroy (Eulmore) - 800 Sacks of Nuts
26804,Minion,FATE,Nacille - Fanow (The Rak'tika Greatwood) - 400 Bicolor Gemstones (Rank 3)
26791,Minion,Quest,Protectors of the Wood
26788,Minion,Dungeon,The Qitana Ravel
26788,Minion,Bozja,Zadnor Lockbox
26788,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
26788,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
26788,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
26787,Minion,Dungeon,Holminster Switch
26787,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
26787,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
26787,Minion,Deep Dungeon,Pilgrim's Traverse - Silver Sack
26799,Minion,Wondrous Tails,1 Khloe's Silver Certificate of Commendation
26798,Minion,Wondrous Tails,1 Khloe's Silver Certificate of Commendation
26806,Minion,Dungeon,Mt. Gulg
26806,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
26801,Minion,Dungeon,Dohn Mheg
26801,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
26801,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
26793,Minion,Dungeon,Akadaemia Anyder
26793,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
26793,Minion,Occult Crescent,South Horn - Silver Coffer
26792,Minion,FATE,Halden - Twine (Amh Araeng) - 400 Bicolor Gemstones (Rank 3)
26790,Minion,Dungeon,Malikah's Well
26790,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
26790,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
26790,Minion,Deep Dungeon,Pilgrim's Traverse - Silver/Gold Sack
24901,Minion,Tribal,Shikitahe - Tamamizu (The Ruby Sea) - 5 Kojin Sango (Rank 9)
24641,Minion,Premium,Item code included with The Art of the Revolution -Eastern Memories-
24637,Minion,Tribal,Madhura - Castellum Velodyna (The Fringes) - 7 Ananta Dreamstaves (Rank 9)
24638,Minion,Tribal,Shikitahe - Tamamizu (The Ruby Sea) - 5 Kojin Sango (Rank 9)
24640,Minion,Eureka,Hydatos Lockbox
24640,Minion,Eureka,Moisture-warped Lockbox - Eureka Hydatos
24635,Minion,Eureka,The Baldesion Arsenal (Eureka Hydatos) - Absolute Virtue Chest
21061,Minion,Raid,The Orbonne Monastery
23996,Minion,Premium,Fan Festival 2018-19
23996,Minion,Premium,Online Store
23995,Minion,Premium,Fan Festival 2018-19
23995,Minion,Premium,Online Store
24636,Minion,PvP,"15,000 Wolf Marks"
24639,Minion,Dungeon,The Ghimlyt Dark
24639,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
24639,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
24639,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
24000,Minion,Eureka,"FATE ""You Do Know Jack"" - Eureka Pyros"
24000,Minion,Occult Crescent,South Horn - Silver Coffer
24634,Minion,Crafting,Crafted by Weaver - The Wreath of Snakes (Extreme)
24634,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
24634,Minion,Occult Crescent,South Horn - Bronze Coffer
24634,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Auxesia
24902,Minion,Voyages,"Subaquatic Voyages - Deep-sea Site (W), Sea of Ash (F/G/Q), Sea of Jade (A)"
24902,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
24902,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
24903,Minion,Treasure Hunt,The Lost Canals of Uznair
24903,Minion,Treasure Hunt,The Hidden Canals of Uznair
24903,Minion,Treasure Hunt,The Shifting Altars of Uznair
24903,Minion,Occult Crescent,North Horn Silver Coffer
24642,Minion,Premium,Shadowbringers Pre-order
24001,Minion,Eureka,Pyros Lockbox
24001,Minion,Eureka,Heat-warped Lockbox - Eureka Pyros
24001,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
23997,Minion,Premium,Fan Festival 2018-19
23997,Minion,Premium,Online Store
23994,Minion,Event,All Saints' Wake (2018)
23994,Minion,Premium,Online Store
23993,Minion,Event,All Saints' Wake (2018)
23993,Minion,Premium,Online Store
23990,Minion,Quest,To Kweh under Distant Skies
23989,Minion,Crafting,Crafted by Weaver - Hell's Kier (Extreme)
23989,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
23989,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
24002,Minion,Treasure Hunt,The Lost Canals of Uznair
24002,Minion,Treasure Hunt,The Hidden Canals of Uznair
24002,Minion,Treasure Hunt,The Shifting Altars of Uznair
23991,Minion,Raid,Alphascape V4.0
23991,Minion,Raid,Alphascape V4.0 (Savage)
23998,Minion,Dungeon,Saint Mocianne's Arboretum (Hard)
23998,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
23998,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
23998,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
23999,Minion,Premium,Attend a Ceremony of Eternal Bonding (Gold/Platinum)
15449,Minion,Event,Itinerant Moogle
22602,Minion,Trial,The Great Hunt (Extreme)
22601,Minion,Quest,The New King on the Block
23028,Minion,Eureka,Pagos Lockbox
23028,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
23027,Minion,Eureka,Happy Bunny Lockbox - Eureka Pagos
23029,Minion,Event,The Rising (2018)
23029,Minion,Premium,Online Store
23033,Minion,Deep Dungeon,Confederate Custodian - Crick (The Ruby Sea) - 10 Empyrean Potsherds
23034,Minion,PvP,"15,000 Wolf Marks"
23030,Minion,Crafting,Crafted by Weaver
23030,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Auxesia
21915,Minion,Crafting,Crafted by Weaver
21915,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Auxesia
23036,Minion,Wondrous Tails,1 Khloe's Bronze Certificate of Commendation
23026,Minion,Premium,Item code included with Stormblood Original Soundtrack
23035,Minion,Tribal,Gyosho - Dhoro Iloh (The Azim Steppe) - 7 Namazu Koban (Rank 4)
23031,Minion,Raid,The Ridorana Lighthouse
23032,Minion,Dungeon,The Swallow's Compass
23032,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
23032,Minion,Deep Dungeon,Eureka Orthos - Bronze/Silver Sack
21917,Minion,Eureka,Anemos Lockbox
21917,Minion,Eureka,"FATE ""Short Serket 2"" - Eureka Anemos"
21917,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
21919,Minion,Eureka,Anemos Lockbox
21919,Minion,Eureka,"FATE ""The Shadow over Anemos"" - Eureka Anemos"
21919,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
21918,Minion,Eureka,Anemos Lockbox
21918,Minion,Eureka,"FATE ""Wine and Honey"" - Eureka Anemos"
21918,Minion,Occult Crescent,South Horn - Bronze Coffer
21916,Minion,Voyages,"Subaquatic Voyages - Deep-Sea Site (I), Sea of Ash (T), Sea of Jade (B)"
21916,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
21916,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
21916,Minion,Crafting,Crafted by Blacksmith
21916,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Oizys
21914,Minion,Event,Hatching-tide (2018)
21914,Minion,Premium,Online Store
20535,Minion,Premium,Item code included with The Art of the Revolution -Western Memories-
21920,Minion,Crafting,Crafted by Weaver - The Jade Stoa (Extreme)
21920,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
21920,Minion,Occult Crescent,South Horn - Bronze/Silver Coffer
21920,Minion,Cosmic Exploration,Bronze/Silver Ancient Record - Auxesia
21913,Minion,Tribal,Madhura - Castellum Velodyna (The Fringes) - 7 Ananta Dreamstaves (Rank 4)
21922,Minion,Treasure Hunt,The Hidden Canals of Uznair
21921,Minion,Voyages,"Subaquatic Voyages - Deep-sea Site (E/G/K/S/U/AA), Sea of Ash (S), Sea of Jade (C), Sirensong Sea (I)"
21921,Minion,Bozja,Southern Front Lockbox / Zadnor Lockbox
