SackItemId,ContainedItemId
23225,15610
23225,17606
23225,15600
23225,17604
23225,17608
23225,15602
23225,17612
23225,15606
23225,15604
23225,15609
23225,15603
23225,23023
23225,17610
23225,17611
23225,15605
23225,17605
23225,15608
23225,15601
23225,20440
23225,20436
23225,15599
23225,22581
23225,17607
23225,17609
23225,20441
23225,20437
23225,17617
23225,15611
23225,17615
23225,17613
23225,15607
23225,17616
23225,15598
23225,21285
23225,17614
38945,36012
38945,36011
38945,33673
38945,32823
38945,27987
38945,23037
38945,29402
38945,24799
38945,24143
38945,27986
38945,30678
38945,39504
38945,5889
38945,5891
38945,5899
38945,5900
38945,5901
38945,7810
38945,7809
38945,5888
38945,8216
38945,5892
38945,5890
38945,21937
38945,21941
38945,20268
38945,16623
38945,20262
38945,16617
38945,23000
38945,22997
38945,22999
38945,22998
38945,20264
38945,16619
38945,20265
38945,16620
38945,20266
38945,16621
38945,23374
38945,23373
38945,23001
38945,23002
38945,24593
38945,24591
38945,20269
38945,16624
38945,24592
38945,20261
38945,16616
38945,24006
38945,24004
38945,24005
38945,20267
38945,16622
38945,21936
38945,20263
38945,16618
38945,39473
38945,33921
38945,33934
38945,33918
38945,33931
38945,33917
38945,33930
38945,33928
38945,33941
38945,33929
38945,33942
38945,33919
38945,33932
38945,33920
38945,33933
38945,26790
38945,28618
38945,26787
38945,26788
38945,26793
38945,35979
38945,28626
38945,33693
38945,28621
38945,23032
38945,23998
38945,28620
38945,35973
38945,35981
38945,21193
38945,26803
38945,26801
38945,21911
38945,24639
38945,39615
38945,39599
38945,39614
38945,5827
38945,8142
38945,8143
38945,8144
38946,13714
38946,13710
38946,13712
38946,13716
38946,13709
38946,13115
38946,13117
38946,13116
38946,13713
38946,13711
38946,13708
38946,13715
38946,13114
38946,39388
38946,39389
38946,28146
38946,24505
38946,23875
38946,29681
38946,27282
38946,27285
38946,27291
38946,27284
38946,27286
38946,27312
38946,24490
38946,7982
38946,28980
38946,7100
38946,7101
38946,27287
38946,6522
38946,8785
38946,27991
38946,27939
38946,27942
38946,30056
38946,30055
38946,30057
38946,27938
38946,28591
38946,28590
38946,30755
38946,30758
38946,30757
38946,30756
38946,27940
38946,27941
38946,28589
38946,28588
38946,30135
38946,39480
38946,24295
38946,27912
38946,25059
38946,36349
38946,36353
38946,27908
38946,23323
38946,27906
38946,30255
38946,33115
38946,24294
38946,36348
38946,27909
38946,36350
38946,27910
38946,36352
38946,33841
38946,27911
38946,36351
38946,28888
38946,37411
38946,27905
38946,36347
38946,38630
38946,27907
38946,31670
38946,39372
38946,5889
38946,5891
38946,5899
38946,5900
38946,5901
38946,7810
38946,7809
38946,5888
38946,8216
38946,5892
38946,5890
38946,33921
38946,33934
38946,33918
38946,33931
38946,33917
38946,33930
38946,33928
38946,33941
38946,33929
38946,33942
38946,33919
38946,33932
38946,33920
38946,33933
38946,26790
38946,28618
38946,26787
38946,26788
38946,26793
38946,35979
38946,28626
38946,33693
38946,28621
38946,23032
38946,23998
38946,28620
38946,35973
38946,35981
38946,21193
38946,26803
38946,26801
38946,21911
38946,24639
38946,39615
38946,39614
38946,5827
38946,8142
38946,8143
38946,8144
38947,39471
38947,13714
38947,13710
38947,13712
38947,13716
38947,13709
38947,13115
38947,13117
38947,13116
38947,13713
38947,13711
38947,13708
38947,13715
38947,13114
38947,25040
38947,25042
38947,25046
38947,25044
38947,25045
38947,25039
38947,25051
38947,36128
38947,25041
38947,25043
38947,25052
38947,30851
38947,30854
38947,30848
38947,30855
38947,30847
38947,30853
38947,30856
38947,30846
38947,36133
38947,30857
38947,30850
38947,30852
38947,30849
38947,30844
38947,30845
38947,30076
38947,30084
38947,30069
38947,30079
38947,30073
38947,30080
38947,30072
38947,30074
38947,30078
38947,30083
38947,30081
38947,30071
38947,36129
38947,30082
38947,30075
38947,30077
38947,30070
38947,25049
38947,25047
38947,25050
38947,30835
38947,30840
38947,30838
38947,30839
38947,30829
38947,30831
38947,30837
38947,30832
38947,30830
38947,30833
38947,36132
38947,30828
38947,30841
38947,30834
38947,30836
38947,33921
38947,33934
38947,33918
38947,33931
38947,33917
38947,33930
38947,33928
38947,33941
38947,33929
38947,33942
38947,33919
38947,33932
38947,33920
38947,33933
38947,39480
38947,36911
38947,24295
38947,27912
38947,25059
38947,36349
38947,36353
38947,27908
38947,23323
38947,27906
38947,30255
38947,33115
38947,24294
38947,36348
38947,27909
38947,36350
38947,27910
38947,36352
38947,33841
38947,27911
38947,36351
38947,28888
38947,37411
38947,27905
38947,36347
38947,38630
38947,27907
38947,31670
38947,5827
38947,25048
47106,36012
47106,36011
47106,28616
47106,27987
47106,46790
47106,30678
47106,47102
47106,46259
47106,46844
47106,46787
47106,46170
47106,33901
47106,33900
47106,33891
47106,33894
47106,33893
47106,33898
47106,33897
47106,33904
47106,33899
47106,33895
47106,33890
47106,33887
47106,33902
47106,33896
47106,33892
47106,33889
47106,33888
47106,33903
47106,48173
47106,48174
47106,48175
47106,48176
47106,48177
47106,48178
47106,48179
47106,48180
47106,48181
47106,48182
47106,48183
47106,48184
47106,48185
47106,48186
47106,48187
47106,48188
47106,48189
47106,48190
47106,48191
47106,48192
47106,38541
47106,38542
47106,38543
47106,38544
47106,38545
47106,38546
47106,38547
47106,38548
47106,38549
47106,38550
47106,38551
47106,38552
47106,38553
47106,38554
47106,38555
47106,38556
47106,38557
47106,38558
47106,46798
47106,41761
47106,41774
47106,41758
47106,41771
47106,41757
47106,41770
47106,41768
47106,41781
47106,41769
47106,41782
47106,41759
47106,41772
47106,41760
47106,41773
47106,33850
47106,23316
47106,17848
47106,21275
47106,17850
47106,21274
47106,21276
47106,17849
47106,17847
47106,23315
47106,22465
47106,30263
47106,22466
47106,33848
47106,22468
47106,46153
47106,33123
47106,33121
47106,22490
47106,33115
47106,31671
47106,27902
47106,28887
47106,30266
47106,22467
47106,33122
47106,27901
47106,31670
47106,5827
47105,46790
47105,47102
47105,46257
47105,46258
47105,13714
47105,13710
47105,13712
47105,13716
47105,13709
47105,13115
47105,13117
47105,13116
47105,13713
47105,13711
47105,13708
47105,13715
47105,13114
47105,33274
47105,28972
47105,28990
47105,28981
47105,27282
47105,27285
47105,27291
47105,27284
47105,27286
47105,27312
47105,27288
47105,33282
47105,32232
47105,30395
47105,28136
47105,28635
47105,28637
47105,28999
47105,29000
47105,28638
47105,46168
47105,29686
47105,27313
47105,27292
47105,40410
47105,40408
47105,40409
47105,40411
47105,40414
47105,40412
47105,40413
47105,40415
47105,38245
47105,38243
47105,38244
47105,38247
47105,38246
47105,41594
47105,41595
47105,41593
47105,41592
47105,40406
47105,40404
47105,40405
47105,40407
47105,39311
47105,39314
47105,39313
47105,39310
47105,39308
47105,39312
47105,39315
47105,39309
47105,46798
47105,41761
47105,41774
47105,41758
47105,41771
47105,41757
47105,41770
47105,41768
47105,41781
47105,41769
47105,41782
47105,41759
47105,41772
47105,41760
47105,41773
47105,35984
47105,30096
47105,33691
47105,26790
47105,28618
47105,33695
47105,26793
47105,32856
47105,26806
47105,35986
47105,28626
47105,28621
47105,28620
47105,26803
47105,30093
47105,30088
47105,33696
47105,46785
47105,33850
47105,23316
47105,17848
47105,21275
47105,17850
47105,21274
47105,21276
47105,17849
47105,17847
47105,23315
47105,22465
47105,30263
47105,22466
47105,33848
47105,22468
47105,33123
47105,33121
47105,22490
47105,33115
47105,31671
47105,27902
47105,28887
47105,30266
47105,22467
47105,33122
47105,27901
47105,31670
47105,46154
47105,46150
47105,46151
47105,5827
47105,8142
47105,8143
47105,8144
47104,47102
47104,46256
47104,46255
47104,46787
47104,5889
47104,5899
47104,5900
47104,5901
47104,5888
47104,24182
47104,20812
47104,23105
47104,21933
47104,24176
47104,20806
47104,23099
47104,21927
47104,24178
47104,20808
47104,23101
47104,21929
47104,24179
47104,20809
47104,23102
47104,21930
47104,24180
47104,20810
47104,23103
47104,21931
47104,24183
47104,20813
47104,23106
47104,21934
47104,24175
47104,20805
47104,23098
47104,21926
47104,24181
47104,20811
47104,23104
47104,21932
47104,24177
47104,20807
47104,23100
47104,21928
47104,35871
47104,35868
47104,35870
47104,35869
47104,36841
47104,32801
47104,32798
47104,32800
47104,32799
47104,32802
47104,33660
47104,33661
47104,33655
47104,33656
47104,33662
47104,33659
47104,33658
47104,33657
47104,33669
47104,33667
47104,33671
47104,33670
47104,33668
47104,36839
47104,36837
47104,36838
47104,36840
47104,36842
47104,46798
47104,41761
47104,41774
47104,41758
47104,41771
47104,41757
47104,41770
47104,41768
47104,41781
47104,41769
47104,41782
47104,41759
47104,41772
47104,41760
47104,41773
47104,26790
47104,39482
47104,26787
47104,26788
47104,36855
47104,40374
47104,39474
47104,40375
47104,40381
47104,43573
47104,38450
47104,44488
47104,39476
47104,26801
47104,44486
47104,36852
47104,47335
47104,46154
47104,46150
47104,46151
47104,46819
47104,5827
47104,8142
47104,8143
47104,8144
