ItemId,ProductId
16044,571
16045,571
16046,572
16047,572
16048,572
16147,228
16148,229
16149,230
16150,231
16151,232
16559,312
16560,313
16561,410
16575,377
16578,434
16579,434
16580,434
16581,434
16582,434
16583,435
16584,435
16585,435
16586,435
16587,435
16588,387
16589,387
16590,387
16591,387
16592,388
16593,388
16594,388
16595,388
16612,392
16613,376
16614,397
16615,398
16795,378
16796,379
16797,393
16798,400
16930,297
16931,402
17009,425
17037,282
17038,283
17039,281
17040,296
17041,299
17042,318
17043,280
17044,292
17045,291
17046,301
17526,407
17619,408
17844,455
17845,459
17846,458
20289,994
20479,430
20480,430
20481,430
20482,430
20483,430
20484,433
20485,433
20486,433
20487,433
20488,433
20489,374
20490,374
20491,374
20492,374
20493,374
20494,375
20495,375
20496,375
20497,375
20498,375
20532,456
20534,457
20563,431
20567,418
20623,363
20624,360
20625,362
20628,368
20629,369
20630,370
20631,371
20632,372
20640,446
20641,421
20678,496
20679,497
20717,385
20719,384
20770,389
20771,390
20815,396
20816,394
20817,395
20818,399
21027,405
21028,406
21029,405
21030,406
21031,405
21032,406
21035,428
21049,432
21050,491
21051,403
21192,404
21307,409
21310,472
21312,474
21315,489
21316,490
21318,492
21870,436
21871,415
21872,423
21873,422
21874,426
21902,468
21908,507
21909,508
21914,525
22367,449
22368,449
22369,449
22370,449
22371,449
22372,450
22373,450
22374,450
22375,450
22376,450
22378,513
22379,514
22380,515
22405,524
22406,623
22407,504
22408,505
22409,516
22410,506
22457,621
22458,622
22460,461
22461,427
22491,517
22499,429
23021,480
23029,586
23320,585
23333,443
23334,444
23335,445
23339,454
23341,460
23361,493
23981,483
23983,512
23993,600
23994,601
23995,518
23996,510
23997,484
24184,498
24185,499
24220,519
24221,520
24235,673
24236,689
24237,690
24283,495
24289,620
24316,477
24317,478
24318,479
24529,503
24590,632
24599,528
24600,528
24601,528
24602,527
24603,527
24604,527
24627,529
25003,640
25004,641
25020,625
25021,626
25057,523
25084,923
25085,924
26537,995
26784,674
26785,663
27943,648
27944,649
27945,650
27946,651
27947,652
27948,653
27949,654
27950,655
27956,588
27978,579
27979,580
27981,603
27983,604
27984,587
28122,635
28501,607
28502,608
28503,609
28507,624
28508,647
28556,852
28557,853
28617,683
28892,684
28911,616
28913,618
28914,619
28915,606
29690,639
29982,629
30042,761
30043,760
30044,769
30045,770
30046,771
30066,631
30108,643
30109,670
30274,645
30275,645
30276,645
30277,644
30429,658
30430,656
30431,657
30859,662
30869,793
31338,788
31398,764
31399,785
31400,791
31418,672
31684,677
31685,678
31686,679
31706,664
31712,675
31713,676
32803,859
32804,896
32805,897
32825,688
32837,848
32838,779
32961,685
32963,687
32964,691
32966,762
32967,763
32968,772
32969,773
33042,765
33132,767
33133,766
33134,768
33288,963
33304,794
33305,792
33677,789
33686,877
33702,795
33703,871
33705,962
33711,882
33754,798
33755,799
33756,800
34062,996
35857,914
35968,893
35969,894
36009,869
36013,911
36335,827
36336,857
36337,858
36375,861
36376,862
36377,876
36380,849
36381,850
36382,851
36383,854
36384,860
36632,885
36843,870
36857,917
36862,949
36913,874
36915,974
36916,918
36921,865
37312,898
37394,868
37407,878
37438,890
37439,863
37440,891
37482,922
37483,921
38449,1070
38458,925
38459,926
38460,965
38569,883
38571,960
38669,889
38670,895
38671,888
38688,913
39302,901
39433,912
39434,919
39435,920
39483,987
39496,951
39497,978
39500,982
39611,980
39612,984
39621,902
39622,903
39623,905
39624,904
39625,907
39626,908
39627,906
40356,939
40359,942
40360,941
40361,940
40362,1053
40384,938
40389,933
40665,1054
40705,1048
40755,1049
40763,947
40764,937
41149,961
41150,966
41151,968
41152,975
41153,979
41154,983
41461,1078
41464,1050
41490,976
41497,1086
41717,997
41718,998
41719,1006
41720,999
41721,1007
41722,1011
41723,1002
41724,1014
41725,1015
41726,1003
41727,1008
41728,1000
41729,1012
41730,1004
41731,1009
41732,1016
41733,1001
41734,1013
41735,1010
41736,1005
41783,1017
41813,1067
43471,1111
43472,1111
43473,1111
43474,1111
43475,1111
43605,1102
43941,1040
44332,1047
44496,1124
44498,1098
44512,1083
44645,1138
44646,1138
44647,1138
44648,1138
44649,1138
44865,1077
44866,1066
44867,1076
44925,1079
44926,1085
44927,1084
44935,1069
44975,1075
44997,1145
45036,1126
45095,254
45129,7
45145,316
45146,132
45147,142
45167,243
45174,294
45181,295
45227,359
45231,319
45265,419
45271,303
45272,304
45273,521
45288,367
45297,401
45316,485
45317,486
45319,578
45326,615
45328,577
45335,636
45337,526
45375,646
45376,751
45377,752
45398,642
45401,790
45406,660
45407,661
45410,681
45411,682
45425,866
45428,786
45431,967
45432,886
45440,936
45484,959
45485,981
45489,892
45492,1043
45503,915
45504,916
45505,950
45521,1068
45522,934
45528,1073
45538,1090
45541,985
45571,1094
45572,1095
45575,1058
45576,1059
46796,1113
46797,1114
47226,1101
47227,1106
47228,1112
47301,1107
47302,1107
47303,1107
47304,1108
47305,1108
47306,1108
47307,1109
47308,1109
47309,1109
47310,1109
47311,1109
47350,1136
47714,1103
47715,1104
47924,1169
47925,1169
47926,1169
47927,1169
47980,1089
47986,1088
48006,1091
48007,1092
48737,1087
48738,1097
49868,1125
50277,1131
50278,1131
50279,1131
50280,1134
50281,1134
50282,1134
50283,1134
50284,1134
50360,1130
52404,1147
52405,1147
52406,1156
52407,1156
52408,1156
52409,1171
52410,1171
52411,1171
52412,1171
52656,1165
52657,1165
52658,1165
52659,1165
